BER,IBER,NIBER,IBN,NIBN,PSNR,SSIM
0.0,0.0,0.0284,0,326,22.700492,0.837564
0.0,0.0,0.0298,0,342,21.187781,0.832241
0.0,0.0,0.0282,0,323,22.664706,0.833129
0.0,0.0,0.0282,0,323,21.517482,0.814686
0.0,0.0,0.0308,0,353,22.317787,0.82965
0.0,0.0,0.0277,0,318,22.898813,0.837776
0.0,0.0,0.0303,0,347,21.753564,0.822399
0.0,0.0,0.0332,0,381,23.441407,0.828479
0.0,0.0,0.0287,0,329,20.799258,0.811124
0.0,0.0,0.0288,0,330,23.801386,0.849173
0.0,0.0,0.0309,0,354,22.173203,0.822736
0.0,0.0,0.0349,0,400,21.010608,0.805424
0.0,0.0,0.029,0,332,22.281831,0.830249
