IBER,NIBER,PSNR,SSIM
0.019,0.0159,21.377219,0.824387
0.0095,0.0133,23.563218,0.864265
0.019,0.0137,23.501603,0.852919
0.0127,0.0147,23.337024,0.855887
0.0222,0.0143,21.08006,0.851103
0.0159,0.014,24.51577,0.877168
0.0095,0.0146,21.961371,0.844028
0.0127,0.0144,22.22251,0.847162
0.0032,0.0133,25.241714,0.880864
0.019,0.014,21.742305,0.843891
0.0159,0.0162,21.839154,0.846934
0.0254,0.0156,21.669832,0.833653
0.0159,0.016,21.66346,0.842898
0.0222,0.0145,21.411588,0.834461
0.0095,0.0151,21.696392,0.832841
0.0127,0.0129,20.971399,0.833033
0.0159,0.0159,21.294778,0.836664
0.0127,0.0152,23.962808,0.867297
0.0159,0.0147,21.495316,0.824412
0.0381,0.0128,22.956418,0.845714
0.0159,0.0143,23.599316,0.856542
0.0159,0.0156,22.436114,0.841562
0.019,0.0179,22.338992,0.82961
0.0127,0.0137,23.2523,0.861461
0.0159,0.0144,22.191471,0.84121
0.0127,0.0146,22.385164,0.849222
0.0095,0.0158,23.111806,0.851063
0.0032,0.014,23.372567,0.851177
0.0127,0.0159,22.650456,0.83886
0.0095,0.0149,22.643851,0.853187
0.0032,0.0148,21.995992,0.842178
0.0063,0.0151,22.61019,0.849613
0.0095,0.0162,23.834088,0.86707
0.0159,0.0153,22.503498,0.838287
0.0127,0.0153,21.684278,0.83506
