IBER,NIBER,PSNR,SSIM
0.0063,0.002,29.546029,0.949202
0.0063,0.0025,25.601558,0.915324
0.0063,0.0018,25.163095,0.915305
0.0063,0.0027,25.773997,0.926328
0.0032,0.0031,24.676757,0.918258
0.0063,0.0033,24.750332,0.913352
0.0,0.0025,31.305979,0.950163
0.0,0.0017,29.86834,0.954067
0.0,0.0018,31.706303,0.957105
0.0032,0.0023,26.529698,0.936432
0.0,0.0023,30.315457,0.947563
0.0063,0.0021,29.298538,0.941243
0.0,0.0021,30.343566,0.940023
0.0032,0.0022,30.147761,0.952495
0.0,0.0031,27.706197,0.927052
0.0063,0.0027,26.610039,0.926533
0.0,0.0032,29.114567,0.937927
0.0095,0.0022,28.542185,0.945205
0.0032,0.0026,29.647872,0.949792
0.0,0.0025,30.037128,0.94302
0.0,0.002,32.104243,0.955088
0.0,0.0024,29.673361,0.945972
0.0032,0.0024,27.162619,0.925738
0.0,0.0027,29.370024,0.942137
0.0032,0.0029,28.434727,0.93949
0.0,0.0026,28.744976,0.940857
0.0032,0.0028,29.437398,0.947889
0.0032,0.0021,19.533165,0.908499
0.0,0.0019,30.604101,0.957072
0.0095,0.003,24.723978,0.910528
0.0063,0.0024,27.201904,0.930025
0.0,0.0016,32.036856,0.953086
0.0063,0.0025,29.295066,0.944804
0.0063,0.0028,23.610387,0.894323
0.0095,0.0035,25.599113,0.90576
0.0032,0.0018,31.394405,0.962473
0.0095,0.0024,25.141004,0.919916
0.0063,0.0019,27.67981,0.943937
0.0,0.0022,26.090336,0.936238
0.0,0.0036,26.2271,0.92014
0.0063,0.002,30.577596,0.956046
0.0032,0.0034,31.035364,0.953478
0.0063,0.0031,27.666025,0.940084
0.0032,0.0038,26.669854,0.914051
0.0127,0.0024,23.585954,0.913718
0.0,0.003,30.806393,0.95105
0.0032,0.003,26.215856,0.925863
0.0063,0.003,24.770439,0.898197
0.0063,0.0032,24.879665,0.90775
0.0,0.0039,28.09825,0.921204
0.0095,0.0031,28.984142,0.932328
0.0063,0.0037,27.005192,0.928576
0.0032,0.0037,24.774028,0.911062
0.0,0.0037,27.665043,0.935869
0.0032,0.0031,28.114429,0.932834
0.0,0.0028,27.898293,0.931253
0.0,0.0038,31.013767,0.945317
0.0032,0.0043,24.573634,0.910187
0.0032,0.004,26.440866,0.910676
0.0,0.0033,29.497642,0.936312
0.0032,0.0032,29.978089,0.938312
0.0,0.004,28.167216,0.916705
0.0032,0.0025,25.464042,0.927398
0.0032,0.0031,26.359613,0.926554
0.0063,0.0034,24.752639,0.901832
0.0063,0.0028,26.890435,0.922523
0.0,0.0034,28.103199,0.934935
0.0159,0.0042,25.501801,0.904199
0.0063,0.0032,31.93358,0.956537
0.0,0.0028,30.651891,0.944693
0.0,0.0042,26.784551,0.914975
0.0032,0.0037,27.972799,0.921956
0.0032,0.0039,25.911374,0.91541
0.0063,0.0038,25.747264,0.91004
0.0032,0.0034,28.683442,0.93155
0.0,0.0031,30.126171,0.942503
0.0063,0.0033,27.827215,0.933394
0.0032,0.0038,26.571442,0.916366
0.0159,0.0025,24.156609,0.904122
0.0032,0.0028,24.461136,0.918569
0.0032,0.003,27.535699,0.937294
0.0032,0.0027,27.834681,0.925647
0.0,0.003,30.519938,0.946396
0.0,0.0038,28.986559,0.936177
0.0063,0.0024,24.348135,0.926278
0.0032,0.0041,25.930078,0.910334
0.0,0.0044,27.046782,0.923159
0.0063,0.0039,28.172945,0.934375
0.0032,0.0033,23.455231,0.899338
0.0,0.0039,28.932288,0.938066
0.0032,0.0049,26.69837,0.913292
0.0063,0.0037,27.930031,0.926977
0.0095,0.0038,27.589483,0.925747
0.0032,0.0044,23.323101,0.901909
0.0032,0.0046,31.085086,0.938334
0.0063,0.004,23.292974,0.901133
0.0127,0.0049,24.178984,0.904668
0.0063,0.0031,23.922599,0.907429
0.0032,0.004,26.823261,0.91213
0.0032,0.0051,26.671145,0.918926
0.0032,0.0042,25.702748,0.90999
0.0063,0.0049,25.18411,0.901655
0.0063,0.005,26.569666,0.909428
0.0095,0.0062,25.149377,0.899627
0.0032,0.0053,27.945936,0.918418
0.0032,0.0048,25.263376,0.906235
0.0063,0.0054,24.198307,0.890594
0.0063,0.0045,25.448229,0.911511
0.0063,0.0065,25.321582,0.90234
0.0032,0.0058,27.033882,0.922335
0.0,0.0052,24.746004,0.910811
0.0063,0.0043,27.297541,0.918249
0.0063,0.0056,24.216608,0.90643
0.0,0.0046,27.443934,0.923428
0.0063,0.0047,23.225535,0.88295
0.0063,0.0058,26.697416,0.906602
0.0,0.0058,28.895515,0.929941
0.0032,0.0054,19.917799,0.859244
0.0,0.0049,24.782251,0.902483
0.0,0.0063,25.205599,0.905415
0.0032,0.0052,26.260747,0.916334
0.0095,0.007,23.21418,0.878352
0.0032,0.005,27.059211,0.914492
0.0063,0.0072,25.028976,0.892054
0.0032,0.0061,23.325612,0.89389
0.0095,0.0059,23.34573,0.891965
0.0063,0.0061,25.573308,0.889397
0.0095,0.0064,24.605259,0.892025
0.0127,0.0063,23.585131,0.888694
0.0032,0.0059,26.488811,0.912419
0.0095,0.0071,24.849697,0.893549
0.0063,0.0064,24.072677,0.878798
0.0032,0.0068,24.179369,0.882629
0.0032,0.0079,25.561423,0.887269
0.0032,0.0055,26.515702,0.911494
0.0063,0.0053,27.235442,0.910979
0.0127,0.0073,22.994584,0.87586
0.0,0.0064,26.191422,0.906409
0.0127,0.0065,23.549926,0.87673
0.0032,0.0065,23.168038,0.872284
0.0095,0.0066,26.048088,0.902391
0.0032,0.0065,24.260365,0.894504
0.0159,0.0066,23.353689,0.887349
0.0095,0.0088,25.151882,0.88835
0.0032,0.0078,23.552204,0.880418
0.0127,0.0079,23.169984,0.869963
0.0063,0.0075,24.862035,0.896514
0.0032,0.0066,27.82361,0.916925
0.0127,0.0068,20.253237,0.831931
0.0063,0.0082,23.131529,0.873741
0.0063,0.0076,23.885983,0.879336
0.0159,0.0068,23.436156,0.879748
0.0095,0.008,22.078342,0.856731
0.019,0.0073,22.430713,0.863771
0.0127,0.0072,22.669424,0.873013
0.0095,0.0081,25.102739,0.892062
0.0,0.0083,24.333829,0.894942
0.0159,0.0075,21.185683,0.833675
0.0095,0.0072,22.363983,0.858657
0.0032,0.0093,22.900528,0.879375
0.0127,0.007,24.124211,0.885951
0.0095,0.0071,22.881486,0.870998
0.0127,0.0087,21.985736,0.865721
0.0,0.0075,25.467982,0.900539
0.0095,0.0091,22.949282,0.86627
0.0127,0.0078,22.748808,0.861106
0.0095,0.0077,23.938719,0.883535
0.0095,0.009,23.094463,0.868466
0.0032,0.008,23.754356,0.880553
0.0095,0.007,25.252366,0.881627
0.0063,0.0086,25.06777,0.878427
0.0,0.0096,22.843791,0.870753
0.0095,0.0095,23.235358,0.862881
0.0095,0.0106,23.937539,0.876315
0.0063,0.0078,23.830162,0.887843
0.0063,0.0113,22.107645,0.845388
0.0095,0.0092,23.062845,0.864028
0.0095,0.0098,24.075245,0.88302
0.0159,0.0092,22.742131,0.862494
0.0063,0.0094,24.677526,0.882795
0.0063,0.0092,26.222792,0.892726
0.0063,0.0096,23.321934,0.865332
0.0063,0.0118,23.95116,0.870859
0.0063,0.0111,25.537544,0.890534
